,homophily1,Run,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B),Avg pct similar neighbors (B) (count empty),Avg pct similar neighbors (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct Happy,Pct Happy Group A,Pct Happy Group B,height,width,num_agents,minority_pc,homophily0
19,0.25,19,58.9,65.0,56.5,50.2,45.3,52.0,350,209,141,100.0,100.0,100.0,20,20,350,0.4,0.25
20,0.375,20,62.2,67.1,56.8,55.7,52.8,55.2,350,211,139,92.0,100.0,79.9,20,20,350,0.4,0.25
21,0.375,21,63.9,65.7,54.2,61.8,58.8,56.2,350,196,154,96.9,100.0,92.9,20,20,350,0.4,0.25
22,0.375,22,61.8,69.3,59.4,48.8,45.9,54.7,350,229,121,93.4,100.0,81.0,20,20,350,0.4,0.25
23,0.375,23,64.3,68.3,56.4,59.1,56.9,56.6,350,210,140,92.9,100.0,82.1,20,20,350,0.4,0.25
24,0.375,24,64.6,70.0,59.1,56.9,54.1,57.2,350,217,133,94.9,100.0,86.5,20,20,350,0.4,0.25
25,0.375,25,59.1,63.7,53.0,53.2,50.7,52.1,350,208,142,92.0,100.0,80.3,20,20,350,0.4,0.25
26,0.375,26,61.4,64.0,53.4,58.4,55.5,54.3,350,198,152,94.3,100.0,86.8,20,20,350,0.4,0.25
27,0.375,27,67.1,73.5,62.1,56.9,53.3,58.9,350,223,127,92.6,100.0,79.5,20,20,350,0.4,0.25
28,0.375,28,59.0,63.3,53.3,53.5,50.2,52.0,350,205,145,93.4,100.0,84.1,20,20,350,0.4,0.25
29,0.375,29,60.5,65.6,55.3,53.4,50.3,53.3,350,212,138,92.3,100.0,80.4,20,20,350,0.4,0.25
30,0.5,30,59.5,64.5,55.4,52.8,47.8,52.2,350,205,145,81.7,100.0,55.9,20,20,350,0.4,0.25
31,0.5,31,58.0,62.0,53.1,53.0,49.2,51.5,350,203,147,83.1,100.0,59.9,20,20,350,0.4,0.25
32,0.5,32,64.1,69.2,59.0,56.9,52.1,56.2,350,212,138,86.9,100.0,66.7,20,20,350,0.4,0.25
33,0.5,33,61.5,66.8,56.2,54.4,49.6,53.6,350,208,142,82.9,100.0,57.7,20,20,350,0.4,0.25
34,0.5,34,60.5,62.8,52.8,57.8,53.4,53.1,350,194,156,85.7,100.0,67.9,20,20,350,0.4,0.25
35,0.5,35,62.4,69.8,59.4,50.6,46.9,54.8,350,221,129,81.1,100.0,48.8,20,20,350,0.4,0.25
36,0.5,36,56.3,59.3,50.0,52.9,48.2,49.2,350,192,158,83.7,100.0,63.9,20,20,350,0.4,0.25
37,0.5,37,58.3,67.8,58.0,41.4,37.9,51.0,350,229,121,80.6,100.0,43.8,20,20,350,0.4,0.25
38,0.5,38,58.9,65.9,56.3,48.6,44.0,51.5,350,213,137,82.0,100.0,54.0,20,20,350,0.4,0.25
39,0.5,39,59.0,63.0,53.6,54.0,49.9,52.0,350,202,148,84.9,100.0,64.2,20,20,350,0.4,0.25
40,0.625,40,55.9,59.8,51.4,51.3,46.0,49.0,350,195,155,69.4,100.0,31.0,20,20,350,0.4,0.25
41,0.625,41,54.6,61.9,53.3,44.4,39.2,47.5,350,207,143,66.6,100.0,18.2,20,20,350,0.4,0.25
42,0.625,42,59.3,69.0,60.1,41.0,36.1,51.9,350,230,120,73.1,100.0,21.7,20,20,350,0.4,0.25
43,0.625,43,56.0,64.6,56.2,41.4,36.3,48.9,350,220,130,68.6,100.0,15.4,20,20,350,0.4,0.25
44,0.625,44,54.7,61.0,52.7,45.9,40.2,47.5,350,204,146,70.9,100.0,30.1,20,20,350,0.4,0.25
45,0.625,45,58.6,61.5,51.8,55.2,49.3,50.7,350,193,157,72.6,100.0,38.9,20,20,350,0.4,0.25
46,0.625,46,55.4,62.1,53.9,45.7,40.6,48.6,350,209,141,70.9,100.0,27.7,20,20,350,0.4,0.25
47,0.625,47,55.2,59.2,51.5,50.1,44.4,48.4,350,198,152,69.1,100.0,28.9,20,20,350,0.4,0.25
48,0.625,48,57.1,63.7,54.1,48.2,42.9,49.5,350,206,144,69.4,100.0,25.7,20,20,350,0.4,0.25
49,0.625,49,55.5,62.8,54.4,45.1,40.1,48.6,350,209,141,68.9,100.0,22.7,20,20,350,0.4,0.25
50,0.75,50,53.6,61.7,53.5,41.5,36.2,46.6,350,210,140,62.0,100.0,5.0,20,20,350,0.4,0.25
51,0.75,51,55.9,63.9,56.2,43.5,38.1,49.1,350,213,137,65.4,100.0,11.7,20,20,350,0.4,0.25
52,0.75,52,58.2,65.2,57.6,47.2,41.0,51.1,350,213,137,65.7,100.0,12.4,20,20,350,0.4,0.25
53,0.75,53,57.5,62.4,55.1,51.0,45.0,50.8,350,201,149,64.3,100.0,16.1,20,20,350,0.4,0.25
54,0.75,54,64.0,70.2,60.9,54.8,47.2,55.4,350,208,142,70.6,100.0,27.5,20,20,350,0.4,0.25
55,0.75,55,56.1,63.9,56.0,44.0,38.1,49.0,350,213,137,62.6,100.0,4.4,20,20,350,0.4,0.25
56,0.75,56,54.6,62.2,54.0,43.1,38.1,47.8,350,212,138,64.0,100.0,8.7,20,20,350,0.4,0.25
57,0.75,57,52.5,59.9,53.0,41.3,35.8,46.1,350,209,141,60.9,100.0,2.8,20,20,350,0.4,0.25
58,0.75,58,55.7,63.9,56.4,42.1,35.9,48.5,350,215,135,62.9,100.0,3.7,20,20,350,0.4,0.25
59,0.75,59,53.9,62.2,54.6,40.9,35.2,47.0,350,212,138,63.7,100.0,8.0,20,20,350,0.4,0.25
